Unnamed: 0,French,English
43,corps,body
62,suite,after
19,parlé,speak
88,donne,given
87,compte,account
95,aura,will have
22,bébé,baby
2,chercher,search
32,savais,knew
58,tellement,so much
66,vers,towards
4,police,police
75,mari,husband
8,genre,kind
77,enfin,finally
68,demandé,request
21,devrait,should
61,venu,came
16,eux,them
51,main,hand
27,revoir,meet again
85,dirait,would say
0,partie,part
23,longtemps,long time
81,parti,left
44,endroit,place
54,pouvoir,power
40,leurs,their
42,train,train
65,devant,in front of
